,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
441,0.5,1.0,0.0,435.706474773522,34.0,237.0,0.1
442,0.5,1.0,0.0,190.92879032645104,17.0,104.0,0.1
443,0.5,1.0,0.0,182.89909937367568,9.0,96.0,0.1
444,0.5,1.0,0.0,257.09562381502394,19.0,118.0,0.1
445,0.5,1.0,0.0,70.7819292155723,7.0,35.0,0.1
446,0.5,1.0,0.0,175.49395838963662,14.0,76.0,0.1
447,0.5,1.0,0.0,54.46820252028807,2.0,22.0,0.1
448,0.5,1.0,0.0,174.33697684044944,15.0,77.0,0.1
449,0.5,1.0,0.0,139.61708499599763,11.0,82.0,0.1
450,0.5,1.0,0.0,124.41754058146498,8.0,61.0,0.1
451,0.5,1.0,0.0,151.01431872130738,11.0,71.0,0.1
452,0.5,1.0,0.0,481.1750001735729,38.0,261.0,0.1
453,0.5,1.0,0.0,501.7766991856356,34.0,235.0,0.1
454,0.5,1.0,0.0,95.2082536567773,4.0,52.0,0.1
455,0.5,1.0,0.0,351.17896362120405,30.0,175.0,0.1
456,0.5,1.0,0.0,261.5717576426329,21.0,129.0,0.1
457,0.5,1.0,0.0,226.34555896679512,19.0,110.0,0.1
458,0.5,1.0,0.0,199.34810645470023,11.0,75.0,0.1
459,0.5,1.0,0.0,124.39642890802487,7.0,55.0,0.1
460,0.5,1.0,0.0,196.6844447967489,17.0,105.0,0.1
461,0.5,1.0,0.0,214.08023778264308,18.0,104.0,0.1
462,0.5,1.0,0.0,334.23472258887693,29.0,150.0,0.1
463,0.5,1.0,0.0,303.91567065842185,24.0,163.0,0.1
464,0.5,1.0,0.0,151.39125363933962,13.0,84.0,0.1
465,0.5,1.0,0.0,65.83874256489356,6.0,23.0,0.1
466,0.5,1.0,0.0,198.41053975381925,15.0,103.0,0.1
467,0.5,1.0,0.0,82.6843392645003,7.0,44.0,0.1
468,0.5,1.0,0.0,38.04649500082572,4.0,11.0,0.1
469,0.5,1.0,0.0,285.13546985308733,24.0,144.0,0.1
470,0.5,1.0,0.0,1051.9690570748844,66.0,529.0,0.1
